-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,ACCELERATE
-1,6.52091,4.611073,6.489856,4.588929,15.98893,0.2757251,3.105008,0.450756,ACCELERATE
-1,6.520905,4.611069,6.489861,4.588933,15.98893,0.2757344,3.105008,0.4705203,ACCELERATE
-1,6.520904,4.611068,6.489863,4.588933,15.98893,0.2757372,3.105008,0.4782073,ACCELERATE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757424,3.105008,0.5020406,ACCELERATE
-1,6.520897,4.611063,6.48987,4.588938,15.98894,0.2757461,3.105011,0.6016821,ACCELERATE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.275744,3.105013,0.7044366,ACCELERATE
-1,6.520884,4.611053,6.489883,4.588948,15.98895,0.275745,3.10503,0.8035364,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757444,3.105048,0.9096975,ACCELERATE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757436,3.105057,1.00364,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105072,1.1063,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.10509,1.206227,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105103,1.307,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105119,1.407339,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105134,1.507341,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.10515,1.60013,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105166,1.700241,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105183,1.806963,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105198,1.903648,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105212,2.004385,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105228,2.10911,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105242,2.206299,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105257,2.307608,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105271,2.400329,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.105284,2.506791,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105299,2.605624,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105314,2.703482,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105332,2.802375,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105347,2.901299,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.10536,3.001011,ACCELERATE
-1,6.520888,4.611039,6.48988,4.588962,15.98896,0.2757258,3.146909,3.104237,ACCELERATE
-1,6.520944,4.611031,6.489823,4.588971,15.98897,0.2757054,3.32535,3.202064,ACCELERATE
-1,6.521012,4.611023,6.489755,4.588978,15.98898,0.275698,3.645455,3.301707,ACCELERATE
-1,6.521176,4.611027,6.489592,4.588974,15.98897,0.2860027,4.098018,3.402342,ACCELERATE
-1,6.521393,4.611063,6.489376,4.588938,15.98893,0.2782996,4.675716,3.503646,ACCELERATE
-1,6.521528,4.611128,6.489241,4.588873,15.98887,0.2802097,5.350439,3.601575,ACCELERATE
-1,6.521674,4.611193,6.489096,4.588809,15.9888,0.2787791,6.145405,3.701329,ACCELERATE
-1,6.521891,4.611269,6.48888,4.588732,15.98873,0.2792501,7.099313,3.807559,ACCELERATE
-1,6.522067,4.611344,6.488705,4.588657,15.98865,0.2790433,8.012164,3.900169,ACCELERATE
-1,6.522325,4.611447,6.488448,4.588554,15.98854,0.2791829,9.158273,4.007761,ACCELERATE
-1,6.522583,4.611562,6.488191,4.588439,15.98843,0.2791522,10.28854,4.107116,ACCELERATE
-1,6.522882,4.611698,6.487891,4.588303,15.98829,0.2791702,11.47116,4.205761,ACCELERATE
-1,6.523211,4.611858,6.487562,4.588143,15.98813,0.2791553,12.70067,4.303918,ACCELERATE
-1,6.52357,4.612038,6.487206,4.587964,15.98795,0.2791653,13.96131,4.400942,ACCELERATE
-1,6.523982,4.612251,6.486793,4.58775,15.98773,0.2791586,15.35317,4.504692,ACCELERATE
-1,6.52442,4.612484,6.486357,4.587517,15.98749,0.2791598,16.76636,4.607176,ACCELERATE
-1,6.524886,4.612739,6.48589,4.587263,15.98724,0.2791585,18.08136,4.700466,ACCELERATE
-1,6.525435,4.613045,6.485343,4.586957,15.98666,0.279159,19.61631,4.807281,LEFT_ACCELERATE
-1,6.760331,4.640753,6.270282,4.563168,15.95585,0.27916,20.99924,4.902055,LEFT_ACCELERATE
-1,7.758623,4.830816,5.602241,4.434594,15.78436,0.2791734,22.51155,5.005379,LEFT_ACCELERATE
-1,9.280193,5.213847,4.901945,4.17836,15.4656,0.279175,23.89625,5.101209,LEFT_ACCELERATE
-1,-1,5.684552,4.309506,3.772611,15.03975,0.2791657,25.4195,5.207425,ACCELERATE
-1,-1,6.066658,3.873084,3.390445,14.67165,0.2791625,26.78621,5.302458,ACCELERATE
-1,-1,6.463742,3.419561,2.992711,14.28639,0.2791599,28.27881,5.405951,ACCELERATE
-1,-1,6.816686,3.016264,2.639373,13.94302,0.2791593,29.64682,5.500643,ACCELERATE
-1,-1,7.201212,2.576778,2.254581,13.56727,0.2791603,31.17225,5.606114,ACCELERATE
-1,-1,7.53805,2.191756,1.917604,13.22827,0.2791591,32.56577,5.702396,ACCELERATE
-1,-1,7.914439,1.761512,1.541125,12.8751,0.2791599,34.02944,5.80348,ACCELERATE
